Event_Name,Event_Client_Id,Venue_Name,Event_Date,Event_Time,as_of_date,unique_views,order_qty,tkt_qty
Canucks vs. Oilers,11005D05E89152CB,Rogers Arena,2023-01-21,19:00,2022-12-07,626,18,48
Canucks vs. Blackhawks,11005D05E8BE532E,Rogers Arena,2023-04-06,19:00,2023-02-15,114,5,23
Canucks vs. Wild,11005EDDB64B3182,Rogers Arena,2023-12-07,19:00,2023-12-06,2469,21,41
Canucks vs. Coyotes,11005723A104316F,Rogers Arena,2020-01-16,19:00,2019-11-05,94,5,20
Canucks vs. Sharks,11005724C2C437A5,Rogers Arena,2020-01-18,19:00,2019-11-17,136,6,27
Canucks vs. Leafs,11005724CCF33B08,Rogers Arena,2019-12-10,19:00,2019-10-31,153,3,6
Canucks vs. Penguins,11005EDDB5F9307D,Rogers Arena,2024-02-27,19:00,2023-09-13,56,3,7
Canucks vs. Blue Jackets,11005EDDB5EE305A,Rogers Arena,2024-01-27,19:00,2023-12-07,276,3,9
Canucks vs. Blackhawks,1100572383FE1F3F,Rogers Arena,2020-01-02,19:00,2019-11-03,181,5,13
Canucks vs. Penguins,11005D05E8D15349,Rogers Arena,2022-10-28,19:00,2022-09-26,380,8,19
Canucks vs. Hurricanes,11005EDDB64E3189,Rogers Arena,2023-12-09,19:00,2023-11-23,423,5,17
Canucks vs. Hurricanes,11005723A13C322A,Rogers Arena,2019-12-12,19:00,2019-10-18,71,3,7
Canucks vs. Flames,11005B3CECD52C7F,Rogers Arena,2022-02-24,19:00,2021-11-28,81,4,7
Canucks vs. Lightning,11005723A11C31CD,Rogers Arena,2022-03-11,19:00,2019-12-17,48,2,10
Canucks vs. Coyotes,11005D05E8C9533A,Rogers Arena,2022-10-07,19:00,2022-09-17,225,8,24
Canucks vs. Ducks,1100572384171F50,Rogers Arena,2022-03-15,19:00,2019-12-04,51,2,11
Canucks vs. Canadiens,11005EDDB60A30A4,Rogers Arena,2024-03-21,19:00,2023-10-05,57,3,6
Canucks vs. Capitals,11005D05E8E1537C,Rogers Arena,2022-11-29,19:00,2022-11-16,341,6,21
Canucks vs. Seattle Kraken,11005D05E8F553A7,Rogers Arena,2022-12-22,19:00,2022-11-07,257,8,24
Canucks vs. Kings,11005B3CECFD2D76,Rogers Arena,2022-04-28,19:00,2022-04-13,453,13,37
Canucks vs. Senators,11005B95FC1B40F9,Rogers Arena,2022-04-19,19:00,2022-04-13,699,9,27
Canucks vs. Kings,1100572384211F56,Rogers Arena,2019-10-09,19:00,2019-10-07,2056,93,206
Canucks vs. Oilers,110056FDD5A83CC4,Rogers Arena,2019-09-17,19:00,2019-08-01,435,15,33
Canucks vs. Kings,1100572384211F56,Rogers Arena,2019-10-09,19:00,2019-09-24,376,16,41
Canucks vs. Ducks,11005EDDB643315F,Rogers Arena,2023-11-28,19:00,2023-11-09,575,14,48
Canucks vs. Flyers,11005D05E89D52EF,Rogers Arena,2023-02-18,19:00,2022-08-30,160,14,27
Canucks vs. Coyotes,110056FDD5B33CCE,Rogers Arena,2019-09-26,19:00,2019-09-15,141,3,9
Canucks vs. Sharks,11005D05E8B4531A,Rogers Arena,2023-03-23,19:00,2022-08-31,54,4,13
Canucks vs. Blues,11005723A12C320A,Rogers Arena,2019-11-05,19:00,2019-09-21,57,3,6
Canucks vs. Islanders,11005D05E88352B7,Rogers Arena,2023-01-03,19:00,2022-10-14,58,2,13
Canucks vs. Blues,11005EDDB62C311F,Rogers Arena,2023-10-27,19:00,2023-09-21,127,2,3
Canucks vs. Jets,11005EDDB5F43070,Rogers Arena,2024-02-17,19:00,2023-09-27,56,2,5
Canucks vs. Devils,11005B3CECDF2D4E,Rogers Arena,2022-03-15,19:00,2022-01-06,20,2,5
Canucks vs. Capitals,11005D05E8E1537C,Rogers Arena,2022-11-29,19:00,2022-11-20,406,2,5
Canucks vs. Bruins,11005724CCEE3B00,Rogers Arena,2020-02-22,19:00,2019-10-16,82,2,6
Canucks vs. Devils,11005EDDB649316B,Rogers Arena,2023-12-05,19:00,2023-09-10,33,2,6
Canucks vs. Sabres,11005B3CECE72D60,Rogers Arena,2022-03-20,19:00,2021-10-28,48,2,4
Canucks vs. Wings,11005B3CECE12D5C,Rogers Arena,2022-03-17,19:00,2021-11-17,42,2,4
Canucks vs. Vegas Golden Knights,11005723841C1F52,Rogers Arena,2022-03-16,19:00,2020-01-25,124,2,4
Canucks vs. Lightning,11005EDDB651318C,Rogers Arena,2023-12-12,19:00,2023-10-08,41,1,2
Canucks vs. Flames,11005EDDB61D30E0,Rogers Arena,2024-04-16,19:00,2023-11-09,60,1,2
Canucks vs. Stars,11005EDDB6353133,Rogers Arena,2023-11-04,19:00,2023-09-22,90,1,2
Canucks vs. Blackhawks,11005D05E8BE532E,Rogers Arena,2023-04-06,19:00,2022-11-24,21,1,2
Canucks vs. Lightning,11005D05E88B52BE,Rogers Arena,2023-01-18,19:00,2022-10-11,40,1,2
Canucks vs. Panthers,11005D05E8E45380,Rogers Arena,2022-12-01,19:00,2022-11-13,264,1,2
Canucks vs. Sharks,11005B3CECF02D66,Rogers Arena,2022-04-09,19:00,2021-12-19,21,1,2
Canucks vs. Lightning,11005723A11C31CD,Rogers Arena,2022-03-11,19:00,2019-12-10,62,1,2
Canucks vs. Capitals,11005B3CECDA2D0F,Rogers Arena,2022-03-11,19:00,2021-10-09,66,1,2
Canucks vs. Predators,1100572384031F43,Rogers Arena,2020-02-10,19:00,2019-09-23,26,1,2
Canucks vs. Kings,1100552677662EAC,Rogers Arena,2019-03-28,19:00,2019-01-19,35,1,2
Canucks vs. Devils,1100552676832A0F,Rogers Arena,2019-03-15,19:00,2019-02-01,55,1,2
Canucks vs. Flyers,11005EDDB65E319B,Rogers Arena,2023-12-28,19:00,2023-08-28,28,1,3
Canucks vs. Panthers,11005D05E8E45380,Rogers Arena,2022-12-01,19:00,2022-10-15,78,1,4
Canucks vs. Vegas Golden Knights,11005723841C1F52,Rogers Arena,2022-03-16,19:00,2020-01-15,91,1,4
Canucks vs. Wings,11005D05E89952E7,Rogers Arena,2023-02-13,19:00,2022-09-07,30,1,4
Canucks vs. Canadiens,11005EDDB60A30A4,Rogers Arena,2024-03-21,19:00,2023-12-21,209,1,1
Canucks vs. Devils,11005B3CECDF2D4E,Rogers Arena,2022-03-15,19:00,2021-12-08,34,1,1
Canucks vs. Senators,11005B95FC1B40F9,Rogers Arena,2022-04-19,19:00,2022-01-25,59,1,6
Canucks vs. Oilers,11005EDDB62030E5,Rogers Arena,2023-09-30,18:00,2023-09-26,892,10,20
Canucks vs. Canadiens,11005D05E8E95390,Rogers Arena,2022-12-05,19:30,2022-11-23,604,3,15
Canucks vs. Canadiens,11005B3CECD72C81,Rogers Arena,2022-03-09,19:30,2021-12-05,115,1,2
Canucks vs. Blackhawks,11005724CCE93AFC,Rogers Arena,2020-02-12,19:30,2020-01-02,292,1,2
Canucks vs. Ducks,1100572384081F45,Rogers Arena,2020-02-16,14:00,2019-12-08,117,1,2
Canucks vs. Vegas Golden Knights,11005D05E8DE5377,Rogers Arena,2022-11-21,19:30,2022-12-24,1,0,0
Canucks vs. Stars,11005B3CECF82D6E,Rogers Arena,2022-04-18,19:30,2021-12-17,17,0,0
Canucks vs. Wild,11005723A10D3177,Rogers Arena,2020-02-19,19:30,2020-01-16,140,0,0
Canucks vs. Leafs,11005D05E8A552FD,Rogers Arena,2023-03-04,16:00,2022-10-07,151,0,0
Canucks vs. Leafs,11005D05E8A552FD,Rogers Arena,2023-03-04,16:00,2023-02-23,704,0,0
Canucks vs. Vegas Golden Knights,11005B3CECED2D64,Rogers Arena,2022-04-03,16:00,2022-04-15,2,0,0
Canucks vs. Ducks,11005EDDB61530D3,Rogers Arena,2024-03-31,12:30,2024-04-19,8,0,0
Canucks vs. Kings,11005D05E8B95325,Rogers Arena,2023-04-02,17:00,2023-01-07,70,0,0
Canucks vs. Oilers,11005EDDB62030E5,Rogers Arena,2023-09-30,18:00,2023-10-21,8,0,0
Canucks vs. Hurricanes,11005D05E8CE5342,Rogers Arena,2022-10-24,19:30,2022-12-08,0,0,0
Canucks vs. Vegas Golden Knights,11005EDDB61830D9,Rogers Arena,2024-04-08,19:00,2023-08-16,5,0,0
Canucks vs. Oilers,11005EDDB6383138,Rogers Arena,2023-11-06,19:00,2023-11-27,5,0,0
Canucks vs. Vegas Golden Knights,11005EDDB61830D9,Rogers Arena,2024-04-08,19:00,2023-08-30,10,0,0
Canucks vs. Ducks,1100552677602EA6,Rogers Arena,2019-03-26,19:00,2018-12-13,12,0,0
Canucks vs. Oilers,11005724C2E037CA,Rogers Arena,2019-12-23,19:00,2019-12-24,12,0,0
Canucks vs. Jets,11005EDDB5F43070,Rogers Arena,2024-02-17,19:00,2024-03-11,9,0,0
Canucks vs. Blue Jackets,11005D05E89652DD,Rogers Arena,2023-01-27,19:00,2022-10-06,22,0,0
Canucks vs. Rangers,11005B3CED0E2D86,Rogers Arena,2021-11-02,19:00,2021-10-03,32,0,0
Canucks vs. Wings,11005723A12431EC,Rogers Arena,2019-10-15,19:00,2019-10-16,25,0,0
Canucks vs. Devils,1100552676832A0F,Rogers Arena,2019-03-15,19:00,2019-01-25,37,0,0
Canucks vs. Stars,11005EDDB61230D0,Rogers Arena,2024-03-28,19:00,2023-10-19,35,0,0
Canucks vs. Panthers,11005EDDB6553192,Rogers Arena,2023-12-14,19:00,2023-07-21,48,0,0
Cancelled ticket due to 50% capacity Canucks vs Blues,11005B3CECD02C79,Rogers Arena,2022-01-23,19:00,2021-12-31,41,0,0
Canucks vs. Blue Jackets,11005D05E89652DD,Rogers Arena,2023-01-27,19:00,2022-11-15,54,0,0
Canucks vs. Blackhawks,11005EDDB5E93019,Rogers Arena,2024-01-22,19:00,2023-10-18,237,0,0
Cancelled ticket due to 50% capacity Canucks vs Blues,11005B3CECD02C79,Rogers Arena,2022-01-23,19:00,2022-01-10,115,0,0
Canucks vs. Senators,11005D05E8AC530E,Rogers Arena,2023-03-11,19:00,2022-09-14,36,0,0
Canucks vs. Seattle Kraken,11005D05E8BB5329,Rogers Arena,2023-04-04,19:00,2023-02-10,69,0,0
Canucks vs. Sharks,11005526768F2A33,Rogers Arena,2019-04-02,19:00,2018-11-20,23,0,0
Canucks vs. Sharks,11005D05E8B4531A,Rogers Arena,2023-03-23,19:00,2022-10-17,14,0,0
Canucks vs. Sharks,11005D05E8B4531A,Rogers Arena,2023-03-23,19:00,2022-09-20,14,0,0
Canucks vs. Flames,11005B3CECD52C7F,Rogers Arena,2022-02-24,19:00,2022-03-10,7,0,0
Canucks vs. Flames,11005EDDB60D30B2,Rogers Arena,2024-03-23,19:00,2024-02-21,295,0,0
Canucks vs. Flames,11005EDDB61D30E0,Rogers Arena,2024-04-16,19:00,2023-08-10,16,0,0
Canucks vs. Lightning,11005723A11C31CD,Rogers Arena,2022-03-11,19:00,2020-04-23,4,0,0
Canucks vs. Wings,11005B3CECE12D5C,Rogers Arena,2022-03-17,19:00,2021-10-02,3,0,0
Canucks vs. Devils,11005EDDB649316B,Rogers Arena,2023-12-05,19:00,2023-12-22,2,0,0
Canucks vs. Seattle Kraken,11005B9122B46B80,Rogers Arena,2022-02-21,19:00,2022-03-26,2,0,0
Canucks vs. Ducks,11005D05E8D65350,Rogers Arena,2022-11-03,19:00,2022-12-02,2,0,0
Canucks vs. Ducks,11005EDDB643315F,Rogers Arena,2023-11-28,19:00,2023-12-31,1,0,0
Canucks vs. Oilers,110056FDD5A83CC4,Rogers Arena,2019-09-17,19:00,2019-10-09,1,0,0
