identifier,event_id,event_name,calculate_date,price_level_name,cap,revenue_to_date,s/t-rate,opens,holds,holds_release,pcp_currentprice,pcp_forwardtix,pcp_forwardrev,prp_currentprice,prp_forwardtix,prp_forwardrev,prg_currentprice,prg_forwardtix,prg_forwardrev,pmt_currentprice,pmt_forwardtix,pmt_forwardrev,pio_currentprice,pio_forwardtix,pio_forwardrev,qualified_opens,unqualified_opens,pminventory,ticket_sold-total,ticket_sold-last_7days,ticket_sold-yesterday,host_sold-total,host_sold-last_7days,host_sold-yesterday,archtics_sold-total,archtics_sold-last_7days,archtics_sold-yesterday,comps-total,comps-last_7days,comps-yesterday,resale_sold-2_days_ago,resale_sold-last_7days,resale_sold-total,resale_asp-2_days_ago,resale_asp-last_7days,resale_asp-total,initial_price,last_price,number_of_postings,median_posting_price,posting_below_cp,lowest_post_price,highest_post_price,host_sold_at_current_price,platinum_sold_-_total,patinum_asp_-_total,prp_opportunity,prg_opportunity,pmt_opportunity,pio_opportunity,event_date,price_code,opponent,target_host_sold-today,tickets_sold_2_days_before_today,tickets_sold_3_days_before_today,tickets_sold_4_days_before_today,tickets_sold_5_days_before_today,tickets_sold_6_days_before_today,tickets_sold_7_days_before_today
AllData_11005C3BA86F5CC6_Rogers Arena_Canucks_vs._Flames_Thu_Feb_24_2022_01-28-2022,11005C3BA86F5CC6,Canucks vs. Flames,2022-01-27,24: 24/N,1076,0.0,0.0,0,0,0,58.5,0.0,0.0,58.5,0.0,0.0,58.5,0.0,0.0,58.5,0.0,0.0,58.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,58.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-24,N,Flames,0.0,,,,,,
AllData_11005C3BA86F5CC6_Rogers Arena_Canucks_vs._Flames_Thu_Feb_24_2022_01-28-2022,11005C3BA86F5CC6,Canucks vs. Flames,2022-01-27,28: 28/R,757,0.0,0.0,0,0,0,58.5,0.0,0.0,58.5,0.0,0.0,58.5,0.0,0.0,58.5,0.0,0.0,58.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,58.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-24,R,Flames,0.0,,,,,,
AllData_11005C3BA86F5CC6_Rogers Arena_Canucks_vs._Flames_Thu_Feb_24_2022_01-28-2022,11005C3BA86F5CC6,Canucks vs. Flames,2022-01-27,17: 17/G,669,0.0,0.0,0,0,0,88.5,0.0,0.0,88.5,0.0,0.0,88.5,0.0,0.0,88.5,0.0,0.0,88.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,88.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-24,G,Flames,0.0,,,,,,
AllData_11005C3BA86F5CC6_Rogers Arena_Canucks_vs._Flames_Thu_Feb_24_2022_01-28-2022,11005C3BA86F5CC6,Canucks vs. Flames,2022-01-27,32: 32/V,80,0.0,0.0,0,0,0,58.5,0.0,0.0,58.5,0.0,0.0,58.5,0.0,0.0,58.5,0.0,0.0,58.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,58.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-24,V,Flames,0.0,,,,,,
AllData_11005C3BA86F5CC6_Rogers Arena_Canucks_vs._Flames_Thu_Feb_24_2022_01-28-2022,11005C3BA86F5CC6,Canucks vs. Flames,2022-01-27,31: 31/U,28,0.0,0.0,0,0,0,194.5,0.0,0.0,194.5,0.0,0.0,194.5,0.0,0.0,194.5,0.0,0.0,194.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,194.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-24,U,Flames,0.0,,,,,,
AllData_11005C3BA86F5CC6_Rogers Arena_Canucks_vs._Flames_Thu_Feb_24_2022_01-28-2022,11005C3BA86F5CC6,Canucks vs. Flames,2022-01-27,18: 18/H,85,0.0,0.0,0,0,0,129.5,0.0,0.0,129.5,0.0,0.0,129.5,0.0,0.0,129.5,0.0,0.0,129.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,129.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-24,H,Flames,0.0,,,,,,
AllData_11005C3BA86F5CC6_Rogers Arena_Canucks_vs._Flames_Thu_Feb_24_2022_01-28-2022,11005C3BA86F5CC6,Canucks vs. Flames,2022-01-27,8: 8/7,734,0.0,0.0,0,0,0,139.5,0.0,0.0,139.5,0.0,0.0,139.5,0.0,0.0,139.5,0.0,0.0,139.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,139.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-24,7,Flames,0.0,,,,,,
AllData_11005C3BA86F5CC6_Rogers Arena_Canucks_vs._Flames_Thu_Feb_24_2022_01-28-2022,11005C3BA86F5CC6,Canucks vs. Flames,2022-01-27,30: 30/T,76,0.0,0.0,0,0,0,141.5,0.0,0.0,141.5,0.0,0.0,141.5,0.0,0.0,141.5,0.0,0.0,141.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,141.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-24,T,Flames,0.0,,,,,,
AllData_11005C3BA86F5CC6_Rogers Arena_Canucks_vs._Flames_Thu_Feb_24_2022_01-28-2022,11005C3BA86F5CC6,Canucks vs. Flames,2022-01-27,14: 14/D,126,0.0,0.0,0,0,0,149.5,0.0,0.0,149.5,0.0,0.0,149.5,0.0,0.0,149.5,0.0,0.0,149.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,149.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-24,D,Flames,0.0,,,,,,
AllData_11005C3BA86F5CC6_Rogers Arena_Canucks_vs._Flames_Thu_Feb_24_2022_01-28-2022,11005C3BA86F5CC6,Canucks vs. Flames,2022-01-27,15: 15/E,378,0.0,0.0,0,0,0,119.5,0.0,0.0,119.5,0.0,0.0,119.5,0.0,0.0,119.5,0.0,0.0,119.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,119.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-24,E,Flames,0.0,,,,,,
AllData_11005C3BA86F5CC6_Rogers Arena_Canucks_vs._Flames_Thu_Feb_24_2022_01-28-2022,11005C3BA86F5CC6,Canucks vs. Flames,2022-01-27,26: 26/P,536,0.0,0.0,0,0,0,84.5,0.0,0.0,84.5,0.0,0.0,84.5,0.0,0.0,84.5,0.0,0.0,84.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,84.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-24,P,Flames,0.0,,,,,,
AllData_11005C3BA86F5CC6_Rogers Arena_Canucks_vs._Flames_Thu_Feb_24_2022_01-28-2022,11005C3BA86F5CC6,Canucks vs. Flames,2022-01-27,27: 27/Q,876,0.0,0.0,0,0,0,64.5,0.0,0.0,64.5,0.0,0.0,64.5,0.0,0.0,64.5,0.0,0.0,64.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-24,Q,Flames,0.0,,,,,,
AllData_11005C3BA86F5CC6_Rogers Arena_Canucks_vs._Flames_Thu_Feb_24_2022_01-28-2022,11005C3BA86F5CC6,Canucks vs. Flames,2022-01-27,23: 23/M,554,0.0,0.0,0,0,0,74.5,0.0,0.0,74.5,0.0,0.0,74.5,0.0,0.0,74.5,0.0,0.0,74.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,74.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-24,M,Flames,0.0,,,,,,
AllData_11005C3BA86F5CC6_Rogers Arena_Canucks_vs._Flames_Thu_Feb_24_2022_01-28-2022,11005C3BA86F5CC6,Canucks vs. Flames,2022-01-27,22: 22/L,823,0.0,0.0,0,0,0,68.5,0.0,0.0,68.5,0.0,0.0,68.5,0.0,0.0,68.5,0.0,0.0,68.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,68.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-24,L,Flames,0.0,,,,,,
AllData_11005C3BA86F5CC6_Rogers Arena_Canucks_vs._Flames_Thu_Feb_24_2022_01-28-2022,11005C3BA86F5CC6,Canucks vs. Flames,2022-01-27,25: 25/O,49,0.0,0.0,0,0,0,123.5,0.0,0.0,123.5,0.0,0.0,123.5,0.0,0.0,123.5,0.0,0.0,123.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,123.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-24,O,Flames,0.0,,,,,,
