team,data_name,opponent_rank
Chicago Blackhawks,Blackhawks,1
Pittsburgh Penguins,Penguins,1
Boston Bruins,Bruins,1
Montreal Canadiens,Canadiens,1
Toronto Maple Leafs,Leafs,1
Detroit Red Wings,Wings,1
New York Rangers,Rangers,1
Philadelphia Flyers,Flyers,1
Washington Capitals,Capitals,1
Colorado Avalanche,Avalanche,1
Calgary Flames,Flames,1
Edmonton Oilers,Oilers,1
Vegas Golden Knights,Vegas Golden Knights,2
Buffalo Sabres,Sabres,2
New Jersey Devils,Devils,2
St. Louis Blues,Blues,2
Dallas Stars,Stars,2
Tampa Bay Lightning,Lightning,2
Minnesota Wild,Wild,2
Los Angeles Kings,Kings,2
San Jose Sharks,Sharks,2
Winnipeg Jets,Jets,3
Nashville Predators,Predators,3
Anaheim Ducks,Ducks,3
Carolina Hurricanes,Hurricanes,3
Seattle Kraken,Seattle Kraken,3
New York Islanders,Islanders,3
Columbus Blue Jackets,Blue Jackets,3
Ottawa Senators,Senators,3
Arizona Coyotes,Coyotes,3
Florida Panthers,Panthers,3
