feature,coefficients,magnitude
opens,0.2239052726802559,0.2239052726802559
days_until_game,-0.16560784005006696,0.16560784005006696
host_sold_at_current_price,0.13324534024596016,0.13324534024596016
unique_views,0.12201950863564137,0.12201950863564137
host_sold-total,0.10277857004732202,0.10277857004732202
price_code_ordinal,-0.10079772771987303,0.10079772771987303
van_rank,-0.0901014130454888,0.0901014130454888
number_of_postings,0.07247335748914828,0.07247335748914828
month_11,0.06543993264844708,0.06543993264844708
month_3,-0.062579566227764,0.062579566227764
lowest_post_price,-0.06084786694474364,0.06084786694474364
s/t-rate,-0.05921733395612615,0.05921733395612615
times_above_floor,-0.057370654289894914,0.057370654289894914
median_posting_price,-0.053925510569192155,0.053925510569192155
resale_sold-last_7days,0.04678104771890029,0.04678104771890029
resale_asp-total,-0.040261292633923085,0.040261292633923085
opponent_rank,0.03926971230600076,0.03926971230600076
resale_sold-total,0.03076113294284863,0.03076113294284863
weekend_game,-0.028652570200739264,0.028652570200739264
host_sold_agg_last_day,-0.027789447706031728,0.027789447706031728
host_sold-last_7days,0.02773783344417051,0.02773783344417051
month_1,-0.02772016678314612,0.02772016678314612
bowl_location,0.025152703198699475,0.025152703198699475
host_sold-yesterday,0.018680384829960952,0.018680384829960952
month_10,0.017444467936624786,0.017444467936624786
opponent_Vegas Golden Knights,0.016125329315712637,0.016125329315712637
tickets_sold_4_days_before_today,0.015722102353023126,0.015722102353023126
tickets_sold_7_days_before_today,0.015595636399599178,0.015595636399599178
resale_asp-last_7days,0.015587287857594116,0.015587287857594116
opponent_Kings,0.015023791480314177,0.015023791480314177
opponent_Leafs,-0.014306987591874024,0.014306987591874024
opponent_Wild,-0.01395448321651629,0.01395448321651629
tickets_sold_3_days_before_today,0.013428711527244234,0.013428711527244234
tickets_sold_2_days_before_today,0.013365437501122025,0.013365437501122025
opponent_Blue Jackets,-0.013200363115440908,0.013200363115440908
tickets_sold_5_days_before_today,0.012609258213003188,0.012609258213003188
inventory_normalized,0.011596867328362317,0.011596867328362317
tickets_sold_6_days_before_today,0.011519832632351384,0.011519832632351384
opponent_Sharks,0.011516947623158861,0.011516947623158861
opponent_Oilers,-0.01016283332638428,0.01016283332638428
month_12,0.010033209557045186,0.010033209557045186
opponent_Avalanche,-0.009495623957335218,0.009495623957335218
opponent_Predators,-0.0071339427655650375,0.0071339427655650375
opponent_Hurricanes,0.006293415133152792,0.006293415133152792
opponent_Islanders,0.006202688147556385,0.006202688147556385
opponent_Panthers,0.006112355467287214,0.006112355467287214
opponent_Sabres,0.005954730074134958,0.005954730074134958
opponent_Flyers,0.005759753636889101,0.005759753636889101
opponent_Blackhawks,-0.005458778493202511,0.005458778493202511
opponent_Blues,0.005449785794927465,0.005449785794927465
opponent_Bruins,-0.005392238350377938,0.005392238350377938
opponent_Ducks,0.0052571258395921645,0.0052571258395921645
opponent_Penguins,0.005196322729337037,0.005196322729337037
opponent_Lightning,0.004394743961660443,0.004394743961660443
opponent_Stars,-0.004246289518388033,0.004246289518388033
opponent_Senators,-0.004190081961222208,0.004190081961222208
opponent_Coyotes,-0.003866174775733525,0.003866174775733525
opponent_Capitals,0.0036403633675577652,0.0036403633675577652
opponent_Wings,-0.003169779762642926,0.003169779762642926
opponent_Canadiens,-0.0026892037578610923,0.0026892037578610923
month_2,-0.002630662589845765,0.002630662589845765
opponent_Devils,-0.0014981824940187656,0.0014981824940187656
opponent_Seattle Kraken,0.0013867862919212932,0.0013867862919212932
highest_post_price,0.001295065311291837,0.001295065311291837
opponent_Rangers,0.00017160188628602722,0.00017160188628602722
opponent_Flames,0.00016547326267314996,0.00016547326267314996
posting_below_cp,-0.00010185391448263528,0.00010185391448263528
opponent_Jets,0.00010096361576232302,0.00010096361576232302
